time_s,ax,ay,az,gx,gy,gz
0.00,4.708191,3.036831,8.619252,0.005177669,-0.03099754,0.03293316
0.02,4.779866,3.172046,8.294102,0.001027062,-0.07625186,0.05310109
0.04,4.762947,3.041709,7.857222,0.02247955,-0.04495192,0.06048739
0.06,4.76644,2.940207,7.57976,0.05654083,0.019512,0.07276117
0.08,4.720482,2.859571,7.428727,0.08730337,0.1028053,0.08737009
0.10,4.67209,2.777106,7.419829,0.1291823,0.184035,0.1024301
0.12,4.555516,2.779106,7.471264,0.1715328,0.2674952,0.1171526
0.14,4.472011,2.832222,7.659831,0.2015846,0.3340986,0.1270756
0.16,4.395793,2.924257,7.902291,0.2200875,0.378136,0.131958
0.18,4.306396,2.971521,8.124805,0.2229631,0.3983383,0.1294419
0.20,4.217654,3.037078,8.328829,0.2161783,0.3853012,0.1236852
0.22,4.158054,3.068887,8.450768,0.2061733,0.3463171,0.1233099
0.24,4.201517,3.060802,8.461964,0.2055435,0.2802446,0.1221949
0.26,4.276056,3.051942,8.472899,0.2276895,0.1834001,0.125991
0.28,4.327115,3.019387,8.471959,0.2647412,0.083735,0.1337495
0.30,4.318815,3.050225,8.377539,0.2998364,-0.01779353,0.1325604
0.32,4.354444,2.977912,8.199921,0.3369669,-0.1119268,0.1167057
0.34,4.406378,2.894472,8.130546,0.3920804,-0.1854858,0.08484054
0.36,4.400924,3.104222,8.234329,0.4458252,-0.2498823,0.05827999
0.38,4.317285,3.400727,8.1808,0.449859,-0.2902884,0.04843997
0.40,4.304407,3.442328,7.976778,0.4219912,-0.288554,0.04956022
0.42,4.297822,3.40839,7.663833,0.4024166,-0.2184681,0.04461354
0.44,3.938401,3.837957,7.418854,0.442802,-0.08120263,0.03070827
0.46,4.499915,3.399146,7.63248,0.4957323,0.008007198,0.03030022
0.48,4.58819,3.233036,7.64502,0.4624794,-0.0003917204,-0.01871279
0.50,4.239093,3.494929,7.364708,0.4238306,-0.01504322,-0.1340342
0.52,3.99595,3.518398,6.99122,0.4621221,0.02067411,-0.2741001
0.54,3.868574,3.306828,6.620953,0.5448118,0.09747525,-0.4114216
0.56,3.721994,3.293333,6.32535,0.6509585,0.1915733,-0.531369
0.58,3.542166,3.575617,6.144316,0.7715402,0.2487258,-0.6248967
0.60,3.311585,3.760416,5.93887,0.8931524,0.2295461,-0.6953863
0.62,3.101737,3.955805,5.736686,1.049548,0.135496,-0.7491396
0.64,2.943553,4.179031,5.711178,1.25695,0.04008657,-0.7888846
0.66,2.575049,4.32962,5.569345,1.469136,-0.01918234,-0.8405816
0.68,2.344558,4.701086,5.38415,1.632458,-0.1211918,-0.9208342
0.70,2.407161,5.1087,5.173221,1.763143,-0.3376468,-0.9959691
0.72,2.694443,5.567987,4.874323,1.979435,-0.5370991,-1.019069
0.74,2.728678,6.06426,5.385788,2.260623,-0.4988896,-1.018893
0.76,2.074346,6.958372,5.419581,2.359271,-0.2701311,-1.082104
0.78,2.056792,7.901001,5.165717,2.155073,-0.1449054,-1.168751
0.80,2.534152,8.011486,5.072791,1.933113,-0.2412078,-1.229777
0.82,2.462794,7.538904,4.695893,2.005975,-0.429693,-1.259392
0.84,2.266604,8.093028,4.199142,2.351386,-0.4322067,-1.241815
0.86,1.79714,8.596703,4.149252,2.564648,-0.2316816,-1.293663
0.88,0.8884551,8.834914,4.330468,2.532372,-0.3476188,-1.458406
0.90,0.573346,9.405622,4.112491,2.399164,-0.5778661,-1.677551
0.92,0.4000898,9.801031,3.969714,2.419696,-0.8784418,-1.852915
0.94,0.5553186,10.57362,3.572379,2.552127,-1.160705,-1.89753
0.96,0.7892845,11.63297,3.172999,2.579906,-1.342389,-1.82541
0.98,0.6066876,12.36942,2.956054,2.417934,-1.459439,-1.733775
1.00,0.384824,13.05665,2.750647,2.172172,-1.588692,-1.656094
1.02,0.6120844,13.2088,2.581392,1.948655,-1.691987,-1.532224
1.04,0.9091106,13.17668,2.170138,1.695855,-1.632072,-1.33567
1.06,0.9341627,12.987,1.351194,1.31846,-1.343283,-1.105478
1.08,0.8521291,12.76414,0.6052966,0.8222387,-0.8555567,-0.9241938
1.10,0.796251,12.53071,0.2484454,0.2469442,-0.2812122,-0.8036654
1.12,1.022397,12.08945,0.211978,-0.3103894,0.2317536,-0.7229388
1.14,1.379239,11.70372,0.1988808,-0.7468188,0.6877346,-0.6354206
1.16,1.395459,11.40563,0.08246877,-1.031868,1.150125,-0.533169
1.18,1.083741,11.1409,0.1444773,-1.195744,1.545292,-0.4211076
1.20,0.7353792,10.85339,0.4039417,-1.312929,1.833451,-0.2964324
1.22,0.3589556,10.34134,0.5341885,-1.380624,2.031264,-0.1797711
1.24,0.0969289,9.615934,0.683185,-1.371126,2.116467,-0.09403998
1.26,0.01153093,9.268434,1.120615,-1.289309,2.030553,-0.01892436
1.28,-0.05900599,9.40405,1.610391,-1.167949,1.794427,0.07157165
1.30,-0.1065731,9.623757,1.792668,-1.014685,1.488739,0.1767646
1.32,-0.05468976,9.677694,1.987993,-0.8668481,1.142863,0.2669036
1.34,0.1642785,9.318398,2.048872,-0.711091,0.7792159,0.3220726
1.36,0.3412358,9.031151,2.068234,-0.5101969,0.4229526,0.3514467
1.38,0.4180281,8.869432,2.167533,-0.2702771,0.06977102,0.3590929
1.40,0.4632613,8.929356,2.275367,-0.03484409,-0.2866383,0.3677708
1.42,0.4925511,9.182629,2.122416,0.1354509,-0.6030844,0.4124745
1.44,0.442419,9.197656,1.688915,0.236724,-0.8017378,0.4932386
1.46,0.3870121,9.102458,1.434995,0.348375,-0.8909795,0.5769736
1.48,0.3871053,9.21511,1.396039,0.4606709,-0.9105958,0.6323517
1.50,0.4749197,9.596969,1.285836,0.5234045,-0.8860782,0.6443474
1.52,0.3809884,9.997159,1.065935,0.5044107,-0.8155042,0.5835538
1.54,0.4358495,10.01384,0.9261214,0.4277043,-0.7093788,0.4801039
1.56,0.4907796,10.03897,0.9037089,0.3459414,-0.6029678,0.3659126
1.58,0.4342587,10.1617,0.9235349,0.2831179,-0.4980904,0.2747729
1.60,0.297776,10.1436,0.948913,0.2314646,-0.3884532,0.2148012
1.62,0.1929868,10.17272,0.9064248,0.1675681,-0.2771116,0.1929354
1.64,0.04558459,10.20098,0.8146898,0.1087563,-0.15649,0.1974394
1.66,-0.07138859,10.26345,0.8574861,0.06030554,-0.0418935,0.2205871
1.68,-0.1361874,10.16951,0.9601826,0.01517511,0.06591535,0.2381785
1.70,-0.1278451,9.972012,0.9887447,-0.01486152,0.1516228,0.2298303
1.72,-0.04547169,9.786344,1.090643,-0.02583726,0.2087332,0.1897582
1.74,-0.0250924,9.653607,1.177833,-0.01917889,0.2433555,0.138908
1.76,-0.1188155,9.61193,1.228363,-0.007151591,0.2613367,0.08815363
1.78,-0.1722623,9.616175,1.27587,-0.007007665,0.2715495,0.05412516
1.80,-0.235306,9.632974,1.291863,-0.02207913,0.270721,0.03052462
1.82,-0.2430622,9.593576,1.290009,-0.03572207,0.2738809,0.0002168239
1.84,-0.1850614,9.533156,1.398569,-0.02287164,0.248931,-0.0442788
1.86,-0.1091188,9.570078,1.521311,0.002220615,0.1811831,-0.09464123
1.88,-0.09009331,9.632533,1.565192,0.02513565,0.09497801,-0.1398766
1.90,-0.02570685,9.624362,1.553665,0.03692152,0.006883765,-0.1605425
1.92,0.04624524,9.636265,1.486979,0.04909955,-0.0633494,-0.1642075
1.94,0.07180043,9.695217,1.44523,0.06254102,-0.1102194,-0.1528098
1.96,0.139814,9.722873,1.381724,0.07685463,-0.1529106,-0.1464757
1.98,0.266166,9.729465,1.382843,0.09694399,-0.1986138,-0.1473488
2.00,0.3311923,9.688473,1.357728,0.1277623,-0.2274676,-0.1561214
2.02,0.3507504,9.707869,1.311398,0.133263,-0.2396781,-0.1674657
2.04,0.3547701,9.805732,1.228864,0.1028538,-0.237257,-0.1676326
2.06,0.334328,9.827539,1.120488,0.05720304,-0.2139905,-0.1579132
2.08,0.3685589,9.846613,1.092523,0.02884307,-0.1751381,-0.1489441
2.10,0.4250222,9.841922,1.087873,0.03554593,-0.1249847,-0.1327156
2.12,0.4396714,9.836021,1.05887,0.05003097,-0.07514396,-0.1177102
2.14,0.4404954,9.871768,1.091139,0.05021758,-0.04376956,-0.1081883
2.16,0.4055711,9.921155,1.124702,0.02983785,-0.02702576,-0.09765255
2.18,0.3648526,9.963332,1.111366,-0.002968506,-0.01045519,-0.0755809
2.20,0.3119503,9.934761,1.073847,-0.02575831,0.02043656,-0.04813565
2.22,0.3078964,9.901297,1.100295,-0.02928154,0.0425288,-0.0211803
2.24,0.3497579,9.904036,1.171041,-0.02085777,0.04197399,0.002134498
2.26,0.3827313,9.882636,1.196518,-0.01924653,0.02200035,0.02768578
2.28,0.3451066,9.910149,1.163984,-0.01352547,0.0008727038,0.05617735
2.30,0.2723656,9.945196,1.156406,-0.008787978,-0.008353689,0.08319507
2.32,0.2311514,9.910903,1.113234,-0.006270183,-0.004754969,0.09852115
2.34,0.2663386,9.792221,1.079322,-0.007430946,-0.001141633,0.09919793
2.36,0.3043437,9.703135,1.082594,-0.0107408,0.001805821,0.08908886
2.38,0.3099878,9.705836,1.087383,-0.00368778,0.0009863076,0.07464319
2.40,0.2990416,9.799166,1.094248,-0.0001986101,0.005316412,0.06731863
