time_s,ax,ay,az,gx,gy,gz
0.00,-0.6818614,9.830037,1.554363,-0.01262207,-0.01682043,0.03396469
0.02,-0.7301655,9.713193,1.414107,-0.01144182,-0.0289688,0.0281408
0.04,-0.7970051,9.628418,1.281352,-0.01405277,-0.001119497,0.03291821
0.06,-0.8248724,9.505736,1.190153,-0.01143522,0.05108527,0.030201
0.08,-0.8042994,9.419596,1.177374,-0.004225739,0.09621399,0.02113837
0.10,-0.7745721,9.446711,1.234496,0.006183363,0.1098935,-0.00182869
0.12,-0.7631982,9.539289,1.333832,0.009645618,0.1014401,-0.02814184
0.14,-0.7650236,9.704899,1.433157,0.01477458,0.08046403,-0.0486582
0.16,-0.8378127,9.830533,1.452688,0.006452356,0.07325679,-0.05908028
0.18,-0.9134105,9.798455,1.367053,-0.004711382,0.07977524,-0.06115033
0.20,-0.8946305,9.770461,1.391374,-0.00649337,0.07247336,-0.05057096
0.22,-0.8529891,9.778065,1.432388,-0.002183409,0.04415972,-0.03375987
0.24,-0.8630915,9.827561,1.46358,0.0003352712,0.00761374,-0.01831271
0.26,-0.8689365,9.868814,1.459465,0.008895962,-0.02753337,-0.003760109
0.28,-0.8614556,9.842253,1.395175,0.02015742,-0.04015496,0.01085984
0.30,-0.8264124,9.797331,1.365597,0.04039561,-0.03543482,0.01813081
0.32,-0.7627549,9.750547,1.349542,0.06084719,-0.02255966,0.02502663
0.34,-0.7263657,9.69645,1.30964,0.07063879,-0.005290024,0.02749768
0.36,-0.7272974,9.605823,1.227626,0.0639291,0.01963463,0.0326473
0.38,-0.7673782,9.549467,1.115557,0.05577726,0.0578066,0.03398918
0.40,-0.802244,9.558085,1.100779,0.04491074,0.09862395,0.0272899
0.42,-0.7884505,9.632918,1.20005,0.03600097,0.1287696,0.01622492
0.44,-0.7758541,9.736996,1.298451,0.03463493,0.147444,8.744684e-05
0.46,-0.7725222,9.781759,1.377024,0.0444543,0.1501469,-0.01592164
0.48,-0.7873359,9.843068,1.406075,0.05435778,0.1477063,-0.01473282
0.50,-0.8394882,9.761902,1.366931,0.05837085,0.140387,-0.004022422
0.52,-0.8551795,9.722009,1.32671,0.05611939,0.1305095,0.01442282
0.54,-0.862042,9.730317,1.332255,0.05683718,0.1204111,0.03207564
0.56,-0.8779374,9.727735,1.351461,0.05731382,0.1077317,0.03637128
0.58,-0.8444097,9.737185,1.396576,0.05107473,0.08517568,0.02971326
0.60,-0.8128308,9.671057,1.365917,0.04168328,0.07618935,0.01560955
0.62,-0.8012444,9.583467,1.273429,0.03340453,0.08852699,-0.003610112
0.64,-0.7773644,9.556903,1.260652,0.02453168,0.09636872,-0.02446477
0.66,-0.7669507,9.575353,1.299086,0.01374901,0.09355327,-0.0475353
0.68,-0.7690582,9.554367,1.301653,0.005537168,0.08509724,-0.06992307
0.70,-0.7773289,9.554396,1.293554,0.004142773,0.07211236,-0.08711307
0.72,-0.8047342,9.64709,1.321963,0.01361736,0.05209361,-0.09593948
0.74,-0.7980165,9.731746,1.349073,0.03298919,0.02888694,-0.09951328
0.76,-0.805194,9.806146,1.340715,0.05655421,0.007835978,-0.08876802
0.78,-0.8197629,9.823657,1.334021,0.06571743,0.0003664666,-0.06943436
0.80,-0.8284297,9.808693,1.26605,0.05970809,-0.002007096,-0.04659099
0.82,-0.8743596,9.819841,1.201497,0.04716785,0.007841583,-0.03342244
0.84,-0.8812256,9.784926,1.125164,0.03193634,0.02877628,-0.03038644
0.86,-0.8919798,9.740914,1.064745,0.01740763,0.05538587,-0.03903182
0.88,-0.8919476,9.725229,1.050052,0.008567401,0.09383678,-0.05065446
0.90,-0.9051669,9.847505,1.101979,0.004844576,0.1323112,-0.05813003
0.92,-0.9094732,9.877354,1.206613,-0.008504606,0.1615903,-0.06208561
0.94,-0.9177572,9.715862,1.203017,-0.02943114,0.1824282,-0.06848554
0.96,-0.9119588,9.533496,1.170937,-0.04849879,0.1929843,-0.07858732
