time_s,ax,ay,az,gx,gy,gz
0.00,1.064676,9.657801,1.896059,0.05487048,-0.1004157,0.001232032
0.02,1.020726,9.582722,1.754253,0.04391692,-0.1288377,0.01308246
0.04,1.005531,9.496809,1.644109,0.04793464,-0.1278433,0.008502957
0.06,1.05875,9.431795,1.645195,0.06124651,-0.1168964,-0.01207222
0.08,1.13124,9.406484,1.659641,0.0719684,-0.1172362,-0.0388874
0.10,1.195458,9.468178,1.646933,0.07610994,-0.1175125,-0.05514684
0.12,1.196178,9.652921,1.669571,0.05920185,-0.1138072,-0.0485483
0.14,1.119033,9.855784,1.658758,0.04104615,-0.08836058,-0.03083754
0.16,1.05128,9.901039,1.65545,0.01609268,-0.05241814,-0.008849323
0.18,1.07505,9.891466,1.641969,-0.008542677,-0.02102883,0.01295819
0.20,1.091371,9.810256,1.609938,-0.02021603,0.009829844,0.02873051
0.22,1.081741,9.743186,1.641194,-0.0213282,0.03703811,0.02784152
0.24,1.090865,9.618308,1.631725,-0.03334246,0.05100816,0.01489779
0.26,1.068692,9.532939,1.615374,-0.03991946,0.04613474,0.004379885
0.28,1.031547,9.501861,1.628836,-0.02387612,0.04478035,0.004039576
0.30,0.9933538,9.478129,1.589227,0.01094981,0.05218812,0.01147192
0.32,0.9751971,9.469937,1.582537,0.04026223,0.04292873,0.02034851
0.34,1.001139,9.485288,1.644079,0.07641385,0.01181084,0.02299986
0.36,0.9989908,9.544388,1.703034,0.1135405,-0.03645558,0.01965391
0.38,0.9871586,9.609932,1.719914,0.1434375,-0.09871121,0.02065832
0.40,0.9541934,9.6129,1.688664,0.1547276,-0.1615852,0.02746979
0.42,0.9236595,9.578269,1.607363,0.1701492,-0.2149996,0.0511693
0.44,0.9423208,9.515523,1.533429,0.1977863,-0.253509,0.08582848
0.46,0.9991163,9.433463,1.462055,0.2465428,-0.2845912,0.1276295
0.48,1.068464,9.39704,1.412291,0.2953528,-0.302539,0.1526015
0.50,1.100917,9.435439,1.417817,0.3071598,-0.2988241,0.1301969
0.52,1.214777,9.469581,1.269111,0.2577758,-0.2861589,0.07600071
0.54,1.339248,9.374161,1.103721,0.2183066,-0.2620188,0.01482842
0.56,1.369455,9.400128,1.087747,0.2043125,-0.1961234,-0.05116734
0.58,1.307031,9.47865,1.030847,0.1924201,-0.1040153,-0.1137723
0.60,1.269447,9.55664,0.9424617,0.1598753,-0.01572164,-0.1639446
0.62,1.315414,9.6484,0.9381584,0.1099168,0.05131057,-0.1848504
0.64,1.320064,9.787729,0.9584527,0.07565421,0.1088007,-0.1746563
0.66,1.299557,9.820451,0.9826248,0.0519479,0.1555623,-0.1361913
0.68,1.260461,9.889529,1.007759,0.03941903,0.187173,-0.08557272
0.70,1.225708,9.974382,1.033471,0.02909306,0.2070109,-0.04029649
0.72,1.230577,10.00308,1.063359,0.02147881,0.2145372,-0.00240131
0.74,1.27711,10.0376,1.064845,0.01937425,0.2115062,0.03535221
