time_s,ax,ay,az,gx,gy,gz
0.00,1.342708,3.277135,9.494905,0.01957187,-0.04506926,0.04204394
0.02,1.458778,3.309706,9.202676,-0.02154165,-0.02616424,0.08597551
0.04,1.466883,3.296844,8.96493,-0.04713818,0.03023555,0.1418594
0.06,1.406303,3.129814,8.914892,-0.02892079,0.08376622,0.1712953
0.08,1.410807,2.955043,8.872206,0.001917633,0.1321216,0.1812191
0.10,1.400123,3.011445,8.922419,0.03058521,0.1598655,0.1776152
0.12,1.318949,3.188763,8.960921,0.03995275,0.1631581,0.1710579
0.14,1.270014,3.303693,8.923412,0.04653062,0.1703449,0.1558258
0.16,1.398682,3.31154,8.972684,0.04908229,0.1711876,0.1405261
0.18,1.630136,3.338322,8.994036,0.04613362,0.1612489,0.1413939
0.20,1.778629,3.322792,8.842252,0.04352789,0.1620843,0.172305
0.22,1.884206,3.328555,8.752219,0.05112798,0.1934524,0.242973
0.24,1.841671,3.324058,8.598693,0.06961326,0.249682,0.3295777
0.26,1.722771,3.342105,8.622133,0.07161972,0.309326,0.4184967
0.28,1.512398,3.327922,8.886806,0.08401904,0.314615,0.4984886
0.30,1.274425,3.095417,9.206404,0.1083345,0.2596345,0.5598882
0.32,1.174034,3.109421,9.333684,0.1432377,0.2075899,0.6062455
0.34,1.236864,3.229676,9.038839,0.1538257,0.2626698,0.6260277
0.36,1.436882,3.340323,8.620181,0.149074,0.430859,0.6412104
0.38,1.574665,3.467657,8.456176,0.1571918,0.634076,0.6844409
0.40,1.50417,3.559995,8.283725,0.1525878,0.8142392,0.7556514
0.42,1.316,3.584229,8.302035,0.1322783,0.895951,0.8609944
0.44,1.100879,3.513988,8.404066,0.1438207,0.8658174,0.9968626
0.46,0.9320741,3.27478,8.870591,0.209707,0.6844928,1.148003
0.48,0.8388698,3.184242,9.428257,0.2843024,0.409949,1.257667
0.50,0.510208,3.011862,9.685486,0.2974503,0.1683892,1.278853
0.52,0.3166135,3.151783,10.03006,0.2929436,-0.006349426,1.214602
0.54,0.3452988,3.273687,10.2867,0.2599751,-0.1172308,1.113216
0.56,0.5644013,3.270757,10.4594,0.1792522,-0.1798639,1.029635
0.58,0.6806707,3.282126,10.57196,0.07862172,-0.1933108,0.9618999
0.60,0.6297964,3.217291,10.72424,-0.003205758,-0.1739019,0.8751915
0.62,0.7006663,3.32122,10.49957,-0.1169077,-0.1385612,0.7728522
0.64,0.8709923,3.232547,10.04743,-0.2223904,-0.06212488,0.6959025
0.66,1.034044,2.969791,9.546843,-0.2851096,0.05080251,0.667504
0.68,1.115712,2.690202,9.178199,-0.2911248,0.1674251,0.6557478
0.70,1.191002,2.512619,9.012571,-0.2518357,0.2455553,0.6290792
0.72,1.309018,2.431406,8.981835,-0.2052705,0.2578642,0.6048468
0.74,1.414316,2.511985,8.945232,-0.1816569,0.2412053,0.5905246
0.76,1.381014,2.608351,8.892361,-0.1684857,0.212474,0.5784383
0.78,1.146665,2.67729,9.035825,-0.150902,0.1643938,0.5479528
0.80,1.029316,2.78917,9.08648,-0.1019861,0.14167,0.5015607
0.82,1.123434,2.806187,8.977199,-0.04947137,0.1779645,0.471938
0.84,1.240273,2.718049,8.839417,-0.001913205,0.2627467,0.4758856
0.86,1.286174,2.757029,8.700726,0.03406348,0.3803097,0.505735
0.88,1.20405,2.793902,8.614398,0.05064761,0.4940012,0.5338464
0.90,1.07011,2.772249,8.676034,0.06561159,0.5784133,0.5350481
0.92,1.029237,2.740265,8.800219,0.09711903,0.6222271,0.5311924
0.94,1.071226,2.738736,8.873226,0.1322604,0.6404382,0.563172
0.96,1.024127,2.810161,8.791549,0.1388633,0.6861025,0.6275079
0.98,0.7827374,2.847407,8.77764,0.1223026,0.7665851,0.6844158
1.00,0.467692,2.808531,8.970584,0.1261219,0.8497699,0.7066687
1.02,0.2333309,2.730983,9.186426,0.155076,0.8943116,0.6998293
1.04,0.1626794,2.72006,9.348182,0.163377,0.8745785,0.6941872
1.06,0.1353765,2.804573,9.492639,0.1471117,0.8158551,0.7131267
1.08,-0.02967874,2.821997,9.566526,0.1213313,0.7526582,0.7322149
1.10,-0.2619725,2.764113,9.768785,0.1152114,0.6640967,0.7281246
1.12,-0.3573102,2.727015,10.0611,0.1314929,0.535786,0.6985079
1.14,-0.2731701,2.683273,10.15127,0.1459872,0.3960822,0.6438914
1.16,-0.2045489,2.589389,10.09458,0.1414628,0.288289,0.5781247
