time_s,ax,ay,az,gx,gy,gz
0.00,0.03405208,9.764256,1.837036,-0.005549856,0.01506258,-0.0040667
0.02,0.05561749,9.760625,1.787512,0.007439053,0.01383964,0.009298402
0.04,0.0218324,9.683268,1.747742,0.01010383,0.02526472,0.01556536
0.06,0.009327771,9.555189,1.732875,0.001411457,0.04293613,0.01168651
0.08,0.006361658,9.483362,1.717332,-0.007261067,0.05068499,-0.009825248
0.10,0.01309386,9.486057,1.743366,-0.006250576,0.05457447,-0.02645436
0.12,0.01992219,9.526976,1.771808,0.01482293,0.04420292,-0.03736855
0.14,0.02053349,9.619963,1.812031,0.04042986,0.02687238,-0.02749374
0.16,-0.001544419,9.72054,1.839746,0.05287201,0.01100458,-0.00403518
0.18,-0.01563371,9.74927,1.78774,0.05640125,0.006101442,0.01551259
0.20,0.02683444,9.761237,1.81041,0.04909436,0.001454605,0.02373294
0.22,0.0578149,9.758687,1.795797,0.04207283,-0.003377764,0.02080845
0.24,0.06829606,9.763584,1.798324,0.0305534,-0.008255698,0.01551995
0.26,0.05999798,9.748265,1.726107,0.02194262,-0.002006979,0.0190828
0.28,0.03514905,9.746332,1.710092,0.006111715,0.01084878,0.02412196
0.30,0.06280586,9.700575,1.680801,-0.00250283,0.02209153,0.02849537
0.32,0.1073754,9.672416,1.667583,0.001584416,0.02910681,0.03897412
0.34,0.1372297,9.675782,1.673295,0.02009872,0.03758756,0.05130847
0.36,0.1420136,9.668875,1.627598,0.03858873,0.04998963,0.06498686
0.38,0.1029327,9.66678,1.590322,0.0384941,0.06319388,0.07582691
0.40,0.0360434,9.626596,1.588916,0.0368169,0.09303689,0.07825938
0.42,0.01107697,9.63513,1.572331,0.03890821,0.1262059,0.06939854
0.44,0.007973767,9.672732,1.616862,0.04937713,0.1393367,0.05213281
0.46,0.01675574,9.737333,1.721202,0.05298737,0.1246581,0.03389663
0.48,-0.01484757,9.773671,1.721792,0.04924621,0.09405915,0.02597474
0.50,-0.03065953,9.725596,1.701149,0.03599733,0.07021945,0.03170411
0.52,-0.05565934,9.648488,1.630952,0.02931456,0.06169185,0.04424646
0.54,-0.03677814,9.555188,1.617811,0.03610325,0.06272127,0.04170783
0.56,0.01624585,9.501725,1.642433,0.0522684,0.0513614,0.022138
0.58,0.0395213,9.554935,1.627494,0.08235225,0.03777675,-0.005236521
0.60,-0.001191834,9.636409,1.624246,0.1202853,0.02771389,-0.02512493
0.62,-0.01665061,9.713517,1.647201,0.135844,0.01881519,-0.03602826
0.64,0.007282272,9.775948,1.627828,0.1212151,0.001348015,-0.03666851
0.66,0.03648735,9.72011,1.588067,0.09780653,-0.01853129,-0.03016201
0.68,0.07961937,9.63374,1.542104,0.09225405,-0.02014047,-0.02618442
0.70,0.100778,9.634322,1.533636,0.1101056,-0.01807398,-0.02726767
0.72,0.1136738,9.678401,1.542502,0.1336817,-0.01897134,-0.04262722
0.74,0.1192718,9.801373,1.566116,0.1476381,-0.0310617,-0.0599742
0.76,0.1170476,9.92326,1.567996,0.1296205,-0.04403601,-0.06319134
0.78,0.08988294,9.933896,1.494934,0.09567112,-0.04420751,-0.04833832
0.80,0.1324086,9.865327,1.475342,0.06680109,-0.02997259,-0.0288747
0.82,0.1737941,9.79035,1.446048,0.04913256,-0.01006803,-0.00792904
0.84,0.1431562,9.766438,1.435899,0.02816611,0.01301496,0.001129536
0.86,0.1055028,9.79717,1.433697,-0.002680169,0.03518921,-0.004385749
0.88,0.09582092,9.744667,1.420329,-0.03436833,0.05387983,-0.01700961
0.90,0.1248117,9.674154,1.439064,-0.0383871,0.06991597,-0.03347427
0.92,0.1473764,9.698834,1.501961,-0.02178045,0.06779458,-0.04110586
0.94,0.113547,9.728252,1.506326,-0.007609489,0.0550939,-0.0332781
0.96,0.08797629,9.711154,1.500561,-0.007295084,0.04007052,-0.01392127
0.98,0.06704575,9.643339,1.505101,-0.01002667,0.02650688,0.007729495
1.00,0.03702705,9.570032,1.484376,-0.005936867,0.01941661,0.01988182
1.02,0.03723415,9.534385,1.472993,0.01047662,0.02183541,0.01888539
1.04,0.07926719,9.580882,1.525665,0.03268911,0.01808734,0.004425311
1.06,0.1004279,9.676698,1.551207,0.0513456,-0.001408501,-0.00936156
1.08,0.05418931,9.856842,1.542688,0.05488376,-0.0198557,-0.01554439
1.10,0.01829337,9.927408,1.512696,0.03728268,-0.02638726,-0.01353812
1.12,0.006596515,9.953688,1.524852,0.005120425,-0.04028892,-0.01070269
1.14,-0.06108998,10.04277,1.474082,-0.03510373,-0.04878544,-0.002515556
1.16,-0.1126036,10.04788,1.434346,-0.0614291,-0.05188595,-0.003137736
1.18,-0.08704066,9.840927,1.440867,-0.0758571,-0.06303052,-0.009402373
1.20,-0.04681408,9.663281,1.452252,-0.07622306,-0.09481356,-0.02417785
1.22,-0.06286412,9.643132,1.444608,-0.06665185,-0.1203814,-0.03416794
1.24,-0.1063473,9.656034,1.399163,-0.06189574,-0.1487074,-0.04288466
1.26,-0.05901912,9.701924,1.393268,-0.06773968,-0.1892114,-0.0511396
1.28,-0.03890368,9.77987,1.378341,-0.05927149,-0.2408579,-0.0653137
1.30,-0.01054882,9.86485,1.39108,-0.03128584,-0.2928405,-0.07665563
1.32,0.04113619,9.816614,1.366176,0.01412788,-0.3441892,-0.07185975
1.34,0.05650559,9.81367,1.331119,0.06030362,-0.3763939,-0.03644934
1.36,-0.0147741,9.884212,1.279517,0.07743718,-0.3886673,0.01682841
1.38,-0.07312435,9.911107,1.209748,0.07387836,-0.3784107,0.0701336
1.40,-0.02313056,9.824756,1.1719,0.06911171,-0.343925,0.09802778
1.42,0.02572179,9.788842,1.1472,0.08576848,-0.2956664,0.1053855
1.44,0.006833588,9.84405,1.126811,0.0884809,-0.2241313,0.1026073
1.46,-0.07829853,9.816474,1.064876,0.05689422,-0.1426095,0.09887476
1.48,-0.09868293,9.738723,1.04739,0.01341459,-0.06120001,0.09313181
1.50,-0.1047058,9.666864,1.060997,-0.01487901,0.02420482,0.08074963
1.52,-0.1082505,9.619174,1.101076,-0.03235885,0.09203846,0.06153928
1.54,-0.1213275,9.612501,1.168951,-0.04098227,0.1358686,0.03856038
1.56,-0.1388703,9.572357,1.202097,-0.03314668,0.1657669,0.01105302
