time_s,ax,ay,az,gx,gy,gz
0.00,-0.7766493,9.91471,0.9831635,-0.0122346,-0.01390799,0.04904064
0.02,-0.7883699,9.839122,0.9688523,-0.01678578,0.017782,0.05651737
0.04,-0.8286641,9.740423,0.9077899,-0.0293355,0.05156983,0.06088806
0.06,-0.871229,9.644182,0.9217303,-0.05086027,0.08543617,0.05197165
0.08,-0.8438209,9.527052,0.9766558,-0.06942976,0.1081859,0.02899994
0.10,-0.8037708,9.504065,0.9846989,-0.06864547,0.110752,-0.0007562342
0.12,-0.7807971,9.601684,1.027043,-0.04574968,0.105823,-0.02080216
0.14,-0.7849811,9.688828,1.064215,-0.01684764,0.09150778,-0.02532756
0.16,-0.8285412,9.73837,1.071822,0.007405429,0.07167316,-0.01340527
0.18,-0.8202506,9.782211,1.101072,0.02635455,0.04557308,0.001306531
0.20,-0.8039216,9.796494,1.116884,0.03552999,0.01405853,0.01276495
0.22,-0.7973172,9.781741,1.116672,0.0357021,-0.01931227,0.01535768
0.24,-0.7864752,9.746777,1.078141,0.0334589,-0.03913615,0.01610129
0.26,-0.7756236,9.727014,1.050096,0.02718539,-0.0484427,0.0179044
0.28,-0.7530639,9.638943,1.018494,0.009987859,-0.04349869,0.02238874
0.30,-0.7540322,9.586392,0.9415213,-0.01166152,-0.03177263,0.03086106
0.32,-0.7807547,9.595775,0.8511159,-0.01620687,0.005850777,0.03039388
0.34,-0.7516293,9.697577,0.8881683,0.005611892,0.03811691,0.02184946
0.36,-0.7143306,9.812988,0.9191678,0.03755841,0.05661811,0.005732648
0.38,-0.7045891,9.953962,0.9690284,0.05581554,0.06429955,0.006123957
0.40,-0.7680997,9.983282,0.9396036,0.0419105,0.07282048,0.02309007
0.42,-0.8261788,9.947922,0.9008754,0.006835675,0.08571144,0.04651778
0.44,-0.8202161,9.857614,0.9162577,-0.03123794,0.0993186,0.0529031
0.46,-0.8768136,9.795828,0.8891088,-0.0567887,0.118256,0.03396294
0.48,-0.7692229,9.643898,0.9314426,-0.07110607,0.125259,0.008080116
0.50,-0.7226674,9.562178,0.9406533,-0.06969421,0.1203418,-0.01641638
0.52,-0.7613934,9.546712,0.9691057,-0.06008646,0.1071798,-0.03961917
0.54,-0.7941427,9.576257,0.9964399,-0.04788515,0.08350883,-0.05351285
0.56,-0.7887732,9.604543,1.042583,-0.02580504,0.04474935,-0.05902593
0.58,-0.7758343,9.70973,1.086163,0.01740669,-0.001339945,-0.05936715
0.60,-0.7709407,9.788352,1.131056,0.05889163,-0.04831972,-0.05399672
0.62,-0.7800404,9.834465,1.117751,0.0866059,-0.09593999,-0.03895637
0.64,-0.7975168,9.856835,1.073965,0.1015277,-0.1348179,-0.02782116
0.66,-0.8076957,9.842983,1.089266,0.114542,-0.1598189,-0.01715197
0.68,-0.7788051,9.82109,1.055481,0.1094464,-0.1737504,-0.005247449
0.70,-0.7570372,9.799517,0.9672968,0.09008209,-0.1735361,0.007297981
0.72,-0.7249234,9.783499,0.9260532,0.07664292,-0.1519147,0.01636789
0.74,-0.6843454,9.78309,0.8782021,0.07367287,-0.117397,0.02692187
0.76,-0.7196972,9.792246,0.8370612,0.06647558,-0.06413342,0.03687611
0.78,-0.7563809,9.804449,0.8142464,0.05218783,-0.008565132,0.03811411
0.80,-0.7651322,9.811007,0.8268695,0.03357085,0.04287784,0.03768757
0.82,-0.7730697,9.804386,0.8492846,0.01575027,0.09036344,0.03383946
0.84,-0.8011084,9.791249,0.8694885,0.005411275,0.131797,0.02390276
0.86,-0.8262869,9.771112,0.9233201,-0.004162131,0.1585675,0.009959651
0.88,-0.8449802,9.761996,0.9725974,-0.0122346,0.1656334,-0.005867302
0.90,-0.8524361,9.723683,1.020887,-0.02065795,0.1566509,-0.01643009
0.92,-0.8526573,9.718867,1.043023,-0.02108864,0.135311,-0.01840015
0.94,-0.8724915,9.725333,1.045888,-0.009439855,0.1125046,-0.01510924
0.96,-0.8888229,9.761959,1.087257,0.01190471,0.08201199,-0.01140691
0.98,-0.8956643,9.822875,1.110634,0.02849826,0.04256503,-0.007241839
1.00,-0.9206409,9.815695,1.098544,0.03343993,0.0004085205,-0.006560999
1.02,-0.9174534,9.786433,1.068418,0.03676058,-0.0339894,-0.006004791
1.04,-0.9105592,9.726569,1.038026,0.03938666,-0.05589899,-0.01039685
1.06,-0.8981885,9.717481,1.035316,0.03540637,-0.07286102,-0.01805222
1.08,-0.9027247,9.719075,1.025278,0.02385067,-0.08760493,-0.02725041
1.10,-0.8994183,9.749591,0.9920239,0.003884542,-0.1047191,-0.03144437
1.12,-0.8854409,9.806736,0.9573908,-0.00559669,-0.1105471,-0.03463414
1.14,-0.838693,9.864763,0.9458017,-0.003685707,-0.1157223,-0.02773445
1.16,-0.8310972,9.884344,0.9154133,0.0007018761,-0.1183312,-0.02165655
1.18,-0.8498346,9.826,0.8905748,0.003205935,-0.1184396,-0.01739443
1.20,-0.8240165,9.753765,0.846354,0.001422108,-0.1155681,-0.0106515
1.22,-0.7901077,9.783789,0.8111047,0.01096721,-0.1048324,-0.006643957
1.24,-0.7794624,9.811763,0.8088973,0.02996925,-0.09376677,0.0005008159
1.26,-0.7247654,9.721449,0.8103097,0.03595627,-0.08114729,0.007514385
1.28,-0.7383493,9.820165,0.7026159,0.04109807,-0.06192901,0.01850254
1.30,-0.7281687,9.816776,0.6851246,0.04320432,-0.03646537,0.03777994
1.32,-0.7315855,9.858727,0.6412128,0.04449021,-0.0007635366,0.0545144
1.34,-0.6740172,9.763606,0.5951049,0.04352488,0.0448656,0.05634352
1.36,-0.615299,9.659162,0.5353519,0.05305827,0.1031724,0.04553229
1.38,-0.5818632,9.653363,0.5506416,0.06887797,0.1615488,0.02794985
1.40,-0.5718109,9.766476,0.5571307,0.07408554,0.2087312,0.02893017
1.42,-0.5887868,9.741302,0.560932,0.0600586,0.243266,0.03965968
1.44,-0.6621876,9.82243,0.5336008,0.04907425,0.2716644,0.05692408
1.46,-0.6715254,9.900832,0.5963246,0.04053887,0.2883218,0.07341944
1.48,-0.696896,9.822899,0.6314065,0.03605566,0.2936696,0.07504255
1.50,-0.6916423,9.792745,0.7187386,0.04117803,0.2715349,0.0633376
1.52,-0.6562288,9.830039,0.8234348,0.05405948,0.2161463,0.04914534
1.54,-0.6806464,9.889228,0.8578007,0.06979907,0.1508547,0.0459665
1.56,-0.725388,9.914074,0.8119052,0.0783577,0.0939709,0.05378619
1.58,-0.7331037,9.856882,0.8291384,0.07726327,0.04283945,0.05877393
1.60,-0.7359542,9.854461,0.7993226,0.08553799,-0.006250217,0.05608251
1.62,-0.687188,9.705199,0.7972203,0.08380177,-0.05364668,0.04917173
1.64,-0.7091203,9.801875,0.8055322,0.08543379,-0.1025985,0.03667329
1.66,-0.7375896,9.847246,0.7441979,0.09256215,-0.1429303,0.02668673
1.68,-0.6654406,9.810664,0.7285784,0.09196845,-0.1713673,0.03233191
1.70,-0.6700383,9.88005,0.6312227,0.09297197,-0.1833289,0.04048376
1.72,-0.7118762,9.940688,0.5976496,0.086827,-0.1763301,0.0514256
1.74,-0.7117108,9.829228,0.5617036,0.08031815,-0.1502727,0.05476926
1.76,-0.6840504,9.792745,0.5583784,0.061794,-0.1248812,0.04707032
1.78,-0.666336,9.755938,0.5630075,0.03570481,-0.106771,0.03032695
1.80,-0.6434475,9.773103,0.5575438,0.01485328,-0.09597987,0.01303777
1.82,-0.6335532,9.824709,0.5513543,0.008322502,-0.07992636,-0.0004150572
1.84,-0.6393279,9.805441,0.5556251,0.004235256,-0.06381982,-0.005957144
1.86,-0.6039902,9.733077,0.5861906,-0.005224787,-0.05164035,-0.004997774
1.88,-0.6775253,9.833247,0.5393488,-0.0156175,-0.04385586,0.003694278
1.90,-0.703077,9.866616,0.5182476,-0.03381865,-0.04421604,0.01607961
1.92,-0.7102541,9.815202,0.5272685,-0.0451587,-0.04464508,0.0260025
1.94,-0.6676319,9.789876,0.5186538,-0.03584813,-0.03575106,0.03401315
1.96,-0.6572863,9.760184,0.5024137,-0.01626027,-0.02368429,0.03336121
1.98,-0.6423301,9.726216,0.502203,0.0005368755,-0.01010096,0.02444612
2.00,-0.6312819,9.719853,0.503987,0.01250937,-0.002258488,0.0178282
2.02,-0.6671063,9.718202,0.4930747,0.01046592,0.01476546,0.0095517
2.04,-0.7055674,9.69756,0.4941754,-0.00128993,0.03668083,0.006579365
2.06,-0.7045818,9.732348,0.5159954,-0.01431058,0.04591453,-0.0009588933
2.08,-0.6630577,9.725682,0.5574916,-0.02113554,0.04522256,-0.01213307
2.10,-0.6344674,9.772704,0.5647362,-0.02444762,0.03748016,-0.01383297
2.12,-0.6593133,9.804357,0.5566646,-0.01531643,0.03144401,-0.009212425
2.14,-0.6429251,9.793248,0.5509074,-0.007261039,0.02518628,-0.0122471
2.16,-0.6464898,9.757665,0.5560037,-0.002227647,0.01813303,-0.01968747
2.18,-0.6925526,9.88667,0.5266943,0.009320836,0.01224084,-0.03019218
2.20,-0.6508212,9.868098,0.5756506,0.01204762,-0.001174558,-0.03408755
2.22,-0.624455,9.911825,0.5619723,0.009262373,-0.01893668,-0.03342748
2.24,-0.5846573,9.890526,0.5553429,0.002315786,-0.03596371,-0.0258618
2.26,-0.5845137,9.857795,0.5133218,0.004017816,-0.03898172,-0.0163557
2.28,-0.5674298,9.811491,0.5069802,0.01125244,-0.03479839,-0.007791762
2.30,-0.5459425,9.760072,0.480784,0.02159667,-0.03500777,-0.006927773
2.32,-0.5223269,9.718932,0.4918616,0.03457286,-0.03295116,-0.01106007
2.34,-0.4905082,9.728221,0.4981554,0.05344788,-0.03323674,-0.01860673
2.36,-0.5356636,9.801355,0.5037014,0.06719989,-0.02910769,-0.0155575
2.38,-0.5273904,9.823061,0.5049697,0.07234369,-0.02893446,-0.007186995
2.40,-0.5237539,9.876281,0.5081362,0.06647859,-0.03712848,0.007207914
2.42,-0.5342309,9.936927,0.5141076,0.06675737,-0.04044503,0.01827678
2.44,-0.5331945,9.947479,0.5607209,0.0646642,-0.05202123,0.01799821
2.46,-0.5196605,9.952083,0.5661225,0.0532713,-0.06820934,0.01806744
2.48,-0.5098059,9.994166,0.5408053,0.02853341,-0.09013058,0.03169603
2.50,-0.5459567,9.93576,0.4632134,0.001985277,-0.1006179,0.04720663
2.52,-0.5519939,9.86391,0.4481411,-0.01085577,-0.09869623,0.06259374
2.54,-0.5450777,9.782932,0.4234833,0.0002406101,-0.08355026,0.06899787
2.56,-0.5205672,9.732479,0.395932,0.01911021,-0.06229341,0.06129358
2.58,-0.5160968,9.744671,0.395796,0.03741435,-0.04649565,0.047561
2.60,-0.5655252,9.819493,0.4116718,0.04307639,-0.04226657,0.03719888
2.62,-0.5696791,9.799963,0.4080804,0.031685,-0.04036304,0.02877535
2.64,-0.543196,9.753509,0.4058772,0.02604656,-0.03931151,0.02311706
2.66,-0.5356998,9.792356,0.423308,0.02617402,-0.03555839,0.01968904
2.68,-0.5393599,9.82862,0.4224493,0.03076961,-0.02906022,0.02164991
2.70,-0.5575172,9.842187,0.3881576,0.03084555,-0.02449553,0.02432049
2.72,-0.5725607,9.837061,0.391502,0.0294121,-0.02131431,0.02654875
2.74,-0.5567709,9.812687,0.3995263,0.03247236,-0.02768998,0.02294415
2.76,-0.5242629,9.80821,0.3954349,0.03709775,-0.03249803,0.02277722
2.78,-0.5308242,9.808629,0.3943625,0.04400357,-0.04475877,0.02250875
2.80,-0.5284606,9.796897,0.3818524,0.04964829,-0.05532487,0.02759512
2.82,-0.5129898,9.771694,0.3772587,0.05628964,-0.06410009,0.03632788
2.84,-0.5056361,9.809348,0.3499369,0.065763,-0.07489692,0.04355049
2.86,-0.5405461,9.769974,0.3294374,0.06797449,-0.08042388,0.0473551
2.88,-0.5025639,9.761711,0.3279272,0.06938174,-0.08903813,0.04030481
2.90,-0.4745132,9.819362,0.3146967,0.07618883,-0.1029294,0.03396495
2.92,-0.4559841,9.829927,0.3052924,0.0796423,-0.1068886,0.0285392
2.94,-0.4540064,9.841227,0.2715782,0.08161136,-0.1041912,0.02564409
2.96,-0.4522387,9.833028,0.2455868,0.07815977,-0.09402379,0.02651978
