time_s,ax,ay,az,gx,gy,gz
0.00,0.6174557,9.870396,1.723536,0.01446084,0.002285911,0.02753694
0.02,0.6607976,9.785738,1.722303,0.004844761,0.003774444,0.02847509
0.04,0.7039463,9.679634,1.71396,-0.004069724,-0.008683817,0.01528716
0.06,0.693803,9.623071,1.679561,-0.008811665,-0.01545623,0.003215838
0.08,0.695895,9.513979,1.649857,0.002639391,-0.01284594,-0.009867929
0.10,0.7537746,9.550314,1.684472,0.01924617,-0.02055228,-0.01464256
0.12,0.7629651,9.640444,1.764339,0.02313704,-0.03792573,-0.01182962
0.14,0.7230868,9.69024,1.730748,0.01708176,-0.05212894,0.003159432
0.16,0.708577,9.727186,1.709495,0.0151071,-0.05401582,0.01456624
0.18,0.6999889,9.733274,1.708229,0.01681315,-0.05108633,0.02238509
0.20,0.6933001,9.746877,1.702741,0.01029218,-0.04511816,0.02835789
0.22,0.6685271,9.734581,1.693125,-0.003611415,-0.03985103,0.03417211
0.24,0.6559605,9.67582,1.668717,-0.0127959,-0.0345514,0.03215189
0.26,0.706745,9.587949,1.685181,-0.005230816,-0.03251144,0.02065246
0.28,0.7431064,9.518767,1.673278,0.005137429,-0.04209802,0.01036116
0.30,0.7098828,9.551426,1.650249,0.02086208,-0.06245858,0.00520958
0.32,0.7104377,9.639636,1.678185,0.04634733,-0.09357256,0.01722006
0.34,0.717302,9.69312,1.66522,0.08410368,-0.1352016,0.04718765
0.36,0.7319486,9.643647,1.626466,0.1195011,-0.1800577,0.07972131
0.38,0.734255,9.470636,1.546385,0.1556857,-0.2264683,0.1115431
0.40,0.7234602,9.425125,1.464025,0.1895395,-0.2561454,0.1392317
0.42,0.7079883,9.565626,1.515121,0.2002345,-0.2666235,0.1589298
0.44,0.6772946,9.610476,1.417311,0.2063109,-0.238209,0.1448207
0.46,0.7477273,9.523331,1.308502,0.2034678,-0.1920406,0.08583431
0.48,0.9550396,9.329995,1.351512,0.199595,-0.1555191,-3.996586e-05
