time_s,ax,ay,az,gx,gy,gz
0.00,1.335528,9.394853,2.688292,0.01333766,0.001308145,-0.0002741282
0.02,1.318251,9.384635,2.657012,0.01878866,-0.01170652,-0.00110967
0.04,1.3384,9.389946,2.689229,0.02992423,-0.02386954,-0.00311636
0.06,1.334437,9.385777,2.688357,0.03609708,-0.02864736,-0.002082008
0.08,1.332543,9.394559,2.583323,0.03532686,-0.02805817,-0.0007286202
0.10,1.315802,9.406782,2.457878,0.0259523,-0.0257933,-0.0005685918
0.12,1.327443,9.400814,2.457033,0.0163635,-0.01027278,0.001000745
0.14,1.337485,9.391013,2.508322,0.01386132,0.009441298,-0.00180524
0.16,1.367759,9.39883,2.577648,0.0157105,0.02274663,-0.002957823
0.18,1.375332,9.389974,2.610605,0.01918864,0.009113576,-0.006015734
0.20,1.338811,9.393104,2.619812,0.01875425,-0.01560474,-0.01086948
0.22,1.324255,9.414114,2.604862,0.01899491,-0.02854967,-0.00671332
0.24,1.299539,9.412867,2.539462,0.01927251,-0.02823183,-0.005171703
0.26,1.315555,9.404782,2.490887,0.01804858,-0.01822718,-0.003856312
0.28,1.347148,9.40431,2.496665,0.01436603,-5.446781e-06,-0.001947241
0.30,1.363627,9.400457,2.531748,0.01509182,0.004476668,-0.007062752
0.32,1.364449,9.396533,2.577976,0.01752257,0.004755776,-0.008637567
0.34,1.325778,9.415514,2.577776,0.02445216,-0.001726821,-0.01088262
0.36,1.294244,9.431778,2.541534,0.02556106,-0.005382013,-0.005720001
0.38,1.277446,9.424403,2.474892,0.02253845,0.0002599576,-0.002166207
0.40,1.316867,9.419771,2.479347,0.02298385,0.01081653,-0.003089135
0.42,1.357003,9.410144,2.476921,0.02328832,0.02570438,-0.002009937
0.44,1.363869,9.394025,2.456761,0.02391501,0.05207328,-0.004648194
0.46,1.368842,9.409467,2.432212,0.02728639,0.07851474,-0.00531932
0.48,1.372382,9.386226,2.440164,0.02856258,0.1046169,-0.009251375
0.50,1.377443,9.38817,2.455921,0.02931826,0.1263244,-0.01442845
0.52,1.376605,9.388135,2.500257,0.03283759,0.137574,-0.01994028
0.54,1.356022,9.411911,2.547876,0.03633649,0.1323096,-0.02460686
0.56,1.309721,9.43002,2.583626,0.03820163,0.1002069,-0.02824543
0.58,1.211402,9.435171,2.638057,0.03568104,0.05668107,-0.03300481
0.60,1.149666,9.460135,2.644214,0.04164058,0.01432817,-0.02439941
0.62,1.112291,9.486425,2.611385,0.04659822,-0.01871119,-0.01187454
0.64,1.103493,9.482483,2.511585,0.0498347,-0.0369954,-0.004483449
0.66,1.17159,9.473027,2.441895,0.05087054,-0.0285948,0.006731637
0.68,1.270892,9.455494,2.365097,0.05130963,-0.002582114,0.01034318
0.70,1.338953,9.428744,2.341613,0.05163941,0.03273014,0.00770138
0.72,1.329697,9.418773,2.332649,0.04736501,0.06855253,0.002541903
0.74,1.292855,9.442058,2.348026,0.04266668,0.0883281,0.001010512
0.76,1.237623,9.447311,2.377865,0.03558365,0.08430673,-0.001028894
0.78,1.202972,9.460269,2.409213,0.02897767,0.06613565,-0.00216831
0.80,1.196885,9.474036,2.4495,0.02056623,0.04349509,0.003704385
0.82,1.192587,9.46984,2.428837,0.01551383,0.01594573,0.006168625
0.84,1.218903,9.468467,2.399758,0.01343227,-0.0009031111,0.008443534
0.86,1.222191,9.456095,2.384162,0.01334918,0.002028112,0.009078243
0.88,1.235164,9.458486,2.363687,0.007740747,0.01274582,0.008870574
0.90,1.259802,9.452577,2.351163,0.002024637,0.01835492,0.01019538
0.92,1.257185,9.454756,2.362556,-0.001001313,0.0222891,0.00852501
0.94,1.258525,9.449146,2.395031,-0.002989334,0.01955029,0.006166104
0.96,1.240429,9.454047,2.389215,-0.006553095,0.01509337,0.007624208
0.98,1.233482,9.463181,2.362017,-0.00909484,0.01711186,0.009443721
1.00,1.240824,9.454727,2.350022,-0.01205442,0.02674273,0.006426361
1.02,1.278242,9.442115,2.359365,-0.01126376,0.03846307,0.004525196
1.04,1.307542,9.426414,2.391742,-0.01122547,0.04813218,-0.003713924
1.06,1.317108,9.438473,2.461739,-0.007440581,0.0502272,-0.007175141
1.08,1.270194,9.439585,2.483567,-0.0007609195,0.03873846,-0.009684132
1.10,1.223545,9.453973,2.502649,0.004837249,0.02417619,-0.006963579
1.12,1.198399,9.471292,2.493867,0.006726179,0.007472626,-0.003081301
1.14,1.202605,9.468478,2.457874,0.008971844,-0.005766574,-0.002280946
1.16,1.212836,9.457553,2.415883,0.008643489,-0.0109465,-0.004469299
1.18,1.226437,9.452535,2.413308,0.008638998,-0.010848,-0.002630517
1.20,1.232595,9.468727,2.393728,0.008821306,-0.007023934,-3.486193e-05
1.22,1.221759,9.464782,2.393902,0.0105907,0.001913512,0.000857433
1.24,1.230123,9.4651,2.403205,0.009458412,0.002488036,0.001829001
1.26,1.243124,9.456488,2.407122,0.01027276,-0.0003780946,-0.0004137992
1.28,1.242088,9.451287,2.415454,0.009849401,-0.001381401,-0.0009647268
1.30,1.233353,9.462259,2.405789,0.00923324,0.0005724462,-0.002641221
1.32,1.225617,9.457533,2.39813,0.01188328,0.0006803829,-0.0005154752
1.34,1.23003,9.446888,2.405108,0.01466676,-0.001036287,-0.003714088
1.36,1.246688,9.444873,2.410796,0.01429182,-0.00430533,-0.007465201
1.38,1.272917,9.44989,2.400378,0.01339776,-0.009459776,-0.01185515
