time_s,ax,ay,az,gx,gy,gz
0.00,0.2251731,9.710497,1.640045,-0.01380693,0.03992275,0.01940537
0.02,0.2204301,9.616045,1.614722,-0.009117735,0.05485659,0.01951069
0.04,0.2283603,9.510939,1.65057,0.005034676,0.05579558,0.008091409
0.06,0.2105924,9.572809,1.683132,0.02134201,0.04831268,-0.007336686
0.08,0.1756163,9.640907,1.67288,0.0400555,0.04844574,-0.007811096
0.10,0.1363929,9.759667,1.654221,0.05000447,0.04951607,0.002646016
0.12,0.09766287,9.794498,1.658219,0.05016582,0.05500487,0.01576028
0.14,0.0929582,9.805463,1.716478,0.04012928,0.05091523,0.02637218
0.16,0.124262,9.775929,1.721354,0.03704013,0.0417319,0.02863249
0.18,0.1421697,9.754671,1.731858,0.03677199,0.03311977,0.0278234
0.20,0.1433806,9.739172,1.711351,0.03034811,0.03087898,0.0222956
0.22,0.166558,9.680026,1.702615,0.01721269,0.02808125,0.007648103
0.24,0.1884004,9.570065,1.69543,0.016449,0.01857516,-0.007872443
0.26,0.2259425,9.647183,1.743818,0.03034669,-0.003615372,-0.02113992
0.28,0.2592774,9.726156,1.807943,0.04681148,-0.04631109,-0.02447787
0.30,0.3081543,9.71906,1.801478,0.06106209,-0.1136172,-0.01521403
0.32,0.3137601,9.765279,1.74817,0.08955188,-0.1651314,0.01660128
0.34,0.280622,9.834079,1.722914,0.1213296,-0.1948179,0.04993472
0.36,0.2867709,9.863577,1.653301,0.1418719,-0.2050613,0.08086434
0.38,0.2896694,9.928405,1.557685,0.1490452,-0.1954373,0.09921116
0.40,0.2623358,9.896066,1.500891,0.1452803,-0.1587295,0.1003194
0.42,0.3115137,9.793405,1.47389,0.1185343,-0.1308847,0.09329652
0.44,0.3230612,9.713137,1.423717,0.08938913,-0.09827111,0.0856913
0.46,0.2967551,9.741966,1.344904,0.062259,-0.05037537,0.08412517
0.48,0.2953983,9.714776,1.309163,0.05652895,-0.002348915,0.0828454
0.50,0.3255887,9.70977,1.363095,0.07082126,0.03503958,0.08308392
0.52,0.3428882,9.67644,1.403902,0.08855361,0.0614248,0.0791962
0.54,0.3503262,9.646573,1.396529,0.1039473,0.07136039,0.07015569
0.56,0.3800579,9.591407,1.429902,0.1195041,0.07186642,0.0631807
0.58,0.4053422,9.629292,1.441576,0.1391453,0.06569481,0.0516309
0.60,0.4085898,9.931354,1.464627,0.1628534,0.05023111,0.03865538
0.62,0.4512016,10.15818,1.538481,0.1704983,0.01383653,0.01539706
0.64,0.4926256,10.16326,1.523548,0.1374341,-0.04969221,0.002672549
0.66,0.491286,10.04781,1.444231,0.09348663,-0.1169259,0.01225752
0.68,0.4754725,9.882694,1.399548,0.06043443,-0.1665757,0.04785717
