time_s,ax,ay,az,gx,gy,gz
0.00,-1.201102,9.705816,2.389032,-0.01332561,0.09306371,0.0415616
0.02,-1.194641,9.580125,2.283094,-0.02903529,0.1026937,0.05863849
0.04,-1.148736,9.436284,2.2087,-0.03574795,0.1069589,0.07406811
0.06,-1.145145,9.219551,2.117884,-0.02737249,0.1216185,0.07702516
0.08,-1.118804,9.087349,2.020707,-0.02238413,0.1615576,0.04933407
0.10,-1.028141,9.071171,1.992051,-0.03248041,0.2087022,0.006942464
0.12,-1.015768,9.197147,2.105713,-0.0505197,0.2416151,-0.02831103
0.14,-1.09419,9.436991,2.292181,-0.05939369,0.2454749,-0.045785
0.16,-1.158913,9.665469,2.479194,-0.05347697,0.2173128,-0.04812213
0.18,-1.221738,9.765643,2.573626,-0.0444878,0.1634099,-0.03330063
0.20,-1.217937,9.704929,2.53665,-0.04431567,0.116779,-0.01151674
0.22,-1.223992,9.594896,2.454998,-0.05144405,0.09426289,0.008080128
0.24,-1.205799,9.51333,2.418449,-0.0514216,0.0883754,0.01256298
0.26,-1.193196,9.485798,2.461277,-0.04017938,0.07298248,0.002145691
0.28,-1.168338,9.501121,2.473573,-0.02148888,0.04589814,-0.01292413
0.30,-1.206735,9.515831,2.425371,-0.006115975,0.02037423,-0.02548885
0.32,-1.235348,9.452559,2.371837,-0.002472044,0.0009761712,-0.02980697
0.34,-1.258509,9.393531,2.279597,0.009736683,-0.002195219,-0.02916269
0.36,-1.299674,9.380977,2.236853,0.03363977,0.01097136,-0.01825912
0.38,-1.333424,9.375484,2.23535,0.05674371,0.01891518,-0.007210322
0.40,-1.351284,9.457335,2.268717,0.07011153,-0.006541224,0.005186789
0.42,-1.40913,9.519685,2.250199,0.0703458,-0.03676418,0.0133909
0.44,-1.386212,9.479425,2.157497,0.06884358,-0.05115748,0.01339279
0.46,-1.331162,9.371582,2.074074,0.06920725,-0.02969789,-0.0106905
0.48,-1.309172,9.327477,2.046269,0.07685257,-0.003312855,-0.04872224
